from,to,in_degree_from,in_degree_to,out_degree_from,out_degree_to,overall_degree_from,overall_degree_to,label
2824497,1962133,1,2,0,0,1,2,0
2079840,2729326,1,1,0,0,1,1,0
1268946,653737,1,8,0,0,1,8,0
2204585,935894,1,1,0,0,1,1,0
1051081,1841214,3,2,0,0,3,2,0
616519,4162219,1,7,0,0,1,7,0
2397311,2470927,12,1,0,0,12,1,0
3773479,3394819,51,1,0,0,51,1,0
1196264,3399445,8,1,0,0,8,1,0
754682,4526645,1,1,0,0,1,1,0
3757160,3160739,1,4,0,0,1,4,0
675161,3334736,1,7,0,0,1,7,0
1047579,4337358,1,1,0,0,1,1,0
2522105,1010275,1,1,0,0,1,1,0
3024026,241923,1,1,0,0,1,1,0
1131294,2832164,1,1,0,0,1,1,0
2868756,3220007,1,2,0,0,1,2,0
2481223,4528514,4,1,0,0,4,1,0
2817827,3306421,1,4,0,0,1,4,0
3136130,4656046,1,1,0,0,1,1,0
4005475,3749745,4,1,0,0,4,1,0
2696413,4170842,1,1,0,0,1,1,0
2978494,4567804,1,1,0,0,1,1,0
2841215,284254,1,1,0,0,1,1,0
2090522,2006737,1,2,0,0,1,2,0
3216778,2356095,2,1,0,0,2,1,0
98774,2954965,1,1,0,0,1,1,0
3741069,3327293,11,1,0,0,11,1,0
3427589,2075383,1,1,0,0,1,1,0
1589725,4313405,2,2,0,0,2,2,0
2540959,2442064,3,1,0,0,3,1,0
4718919,4532895,26,25,0,0,26,25,0
4220144,1473363,1,44,0,0,1,44,0
4645811,779608,1,1,0,0,1,1,0
4396702,2668705,27,1,0,0,27,1,0
1997149,1355831,3,74,0,0,3,74,0
3119617,3173565,1,3,0,0,1,3,0
3750394,4068754,5,3,0,0,5,3,0
2346545,3391138,10,2,0,0,10,2,0
26589,3471675,1,1,0,0,1,1,0
4372224,3316438,1,31,0,0,1,31,0
349687,2625467,1,1,0,0,1,1,0
3886716,3208628,4,2,0,0,4,2,0
2171302,283230,2,1,0,0,2,1,0
4393313,3587241,1,28,0,0,1,28,0
1842851,149320,1,4,0,0,1,4,0
854793,357385,23,2,0,0,23,2,0
3142382,438655,4,1,0,0,4,1,0
3652389,2693423,1,2,0,0,1,2,0
770556,29527,1,1,0,0,1,1,0
132477,3236284,46,1,0,0,46,1,0
3843648,1281084,1,1,0,0,1,1,0
2821243,729677,1,4,0,0,1,4,0
4344114,1841621,7,1,0,0,7,1,0
2030816,3441403,7,2,0,0,7,2,0
1784579,3660707,1,7,0,0,1,7,0
1099033,1702215,1,2,0,0,1,2,0
3254019,525279,1,1,0,0,1,1,0
4405382,1161547,1,2,0,0,1,2,0
4533381,3904664,1,3,0,0,1,3,0
550858,3294111,1,2,0,0,1,2,0
44220,4778590,1,1,0,0,1,1,0
3021463,1044745,1,1,0,0,1,1,0
859856,2042878,5,4,0,0,5,4,0
2359378,3815801,1,3,0,0,1,3,0
2685010,3533101,58,2,0,0,58,2,0
3452048,759829,2,1,0,0,2,1,0
1130759,3712630,10,1,0,0,10,1,0
4656833,2783457,1,2,0,0,1,2,0
3535440,1871069,1,33,0,0,1,33,0
208812,4446931,2,1,0,0,2,1,0
946938,4095435,1,4,0,0,1,4,0
2753032,3022363,1,2,0,0,1,2,0
2270203,4559287,1,1,0,0,1,1,0
1949380,1961287,2,6,0,0,2,6,0
3043879,4615792,8,1,0,0,8,1,0
1960774,2218331,1,2,0,0,1,2,0
3474499,3773046,1,2,0,0,1,2,0
3498696,2614823,1,6,0,0,1,6,0
3943394,2791127,1,1,0,0,1,1,0
1447057,2609643,1,1,0,0,1,1,0
407912,2274746,13,17,0,0,13,17,0
3777649,3066802,1,1,0,0,1,1,0
3497724,3199217,11,2,0,0,11,2,0
2031902,3755555,1,1,0,0,1,1,0
438312,238046,1,52,0,590,1,642,0
136998,1173991,3,1,0,0,3,1,0
3864109,1806532,1,2,0,0,1,2,0
1942360,14411,4,1,0,0,4,1,0
2632408,1994896,142,35,202,0,344,35,0
1920895,1349699,9,71,0,0,9,71,0
3579211,4811109,1,21,0,0,1,21,0
1537656,4459403,1,1,0,0,1,1,0
4629463,738567,1,2,0,0,1,2,0
1351552,3289066,1,3,0,0,1,3,0
1412137,4231303,2,1,0,0,2,1,0
4698826,2036715,1,1,0,0,1,1,0
2495892,4067488,1,1,0,0,1,1,0
4415226,2741588,1,1,0,0,1,1,0
1054002,1659795,1,25,0,0,1,25,0
845014,96172,1,1,0,0,1,1,0
4286395,981457,1,1,0,0,1,1,0
1377049,4560553,1,1,0,0,1,1,0
698405,3910729,4,6,0,0,4,6,0
2076527,3176174,1,1,0,0,1,1,0
3897503,214285,2,1,0,0,2,1,0
1284763,1501705,1,1,0,0,1,1,0
2740190,490960,5,1,0,0,5,1,0
4392238,1009248,1,2,0,0,1,2,0
266218,3833807,1,1,0,0,1,1,0
485572,446137,3,11,0,0,3,11,0
3495121,3127293,1,1,0,0,1,1,0
3899735,2874888,2,2,0,0,2,2,0
2320730,1574159,1,1,0,0,1,1,0
3109811,2766810,1,1,0,0,1,1,0
1516663,1962730,3,3,0,0,3,3,0
1276014,815569,2,1,0,0,2,1,0
2071502,2718340,1,1,0,0,1,1,0
1309792,313488,2,5,0,0,2,5,0
1193479,1373640,3,1,0,0,3,1,0
4273565,2856243,7,1,0,0,7,1,0
3251565,3283122,11,1,0,0,11,1,0
2388279,2757588,1,1,0,0,1,1,0
670422,4095407,1,1,0,0,1,1,0
1614711,3536509,2,28,0,0,2,28,0
1798348,1254785,3,2,0,0,3,2,0
1069690,1238950,1,2,0,0,1,2,0
1385998,3559777,1,8,0,0,1,8,0
1272820,1039827,1,23,0,0,1,23,0
3910246,913376,7,1,0,0,7,1,0
3412521,1843498,4,5,0,0,4,5,0
3343430,2101256,3,7,0,0,3,7,0
4081808,824599,1,3,0,0,1,3,0
2250065,715103,2,1,0,0,2,1,0
3828056,1347223,1,3,0,0,1,3,0
3555484,3358968,1,3,0,0,1,3,0
50847,1398240,1,3,0,0,1,3,0
1483414,2334263,1,1,0,0,1,1,0
2962029,4235322,1,1,0,0,1,1,0
1818337,261110,2,8,0,0,2,8,0
4359418,2064728,1,5,0,0,1,5,0
1130288,33346,4,2,0,0,4,2,0
2684171,2762155,1,1,0,0,1,1,0
2514555,25459,5,2,0,0,5,2,0
3389461,1081926,1,3,0,0,1,3,0
798055,2702965,1,1,0,0,1,1,0
405591,2014009,1,1,0,0,1,1,0
2807959,2569528,1,1,0,0,1,1,0
1877701,4480068,3,2,0,0,3,2,0
2946305,4675171,1,16,0,0,1,16,0
1505149,3823505,1,1,0,0,1,1,0
4350127,4208740,1,1,0,0,1,1,0
1027094,4455608,1,1,0,0,1,1,0
4694038,902450,1,3,0,0,1,3,0
1129711,208066,1,1,0,0,1,1,0
4047572,3478572,1,1,0,0,1,1,0
30070,3473696,2,1,0,0,2,1,0
3143783,4755302,3,1,0,0,3,1,0
1078868,3935290,5,1,0,0,5,1,0
1753953,4617414,1,2,0,0,1,2,0
3380848,4076461,1,2,0,0,1,2,0
3354415,4638875,3,4,0,0,3,4,0
4611540,2890735,2,8,0,0,2,8,0
3909421,4172906,1,4,0,0,1,4,0
2513488,2660948,2,2,0,0,2,2,0
3412551,2518908,1,1,0,0,1,1,0
417362,4679,3,2,0,0,3,2,0
1446103,472557,1,1,0,0,1,1,0
1101348,1297608,2,1,0,0,2,1,0
2758168,1117673,1,1,0,0,1,1,0
4294250,2084650,617,1,0,0,617,1,0
78974,2754126,1,1,0,0,1,1,0
2301002,4428071,1,1,0,0,1,1,0
3436700,426462,1,3,0,0,1,3,0
4282840,2758211,4,2,0,0,4,2,0
4602571,2900362,1,1,0,0,1,1,0
1064389,3377358,2,6,0,0,2,6,0
3072122,4389267,8,1,0,0,8,1,0
1373258,3376821,18,1,0,0,18,1,0
1753668,2159791,1,2,0,0,1,2,0
4069462,3490746,1,1,0,0,1,1,0
2043754,3849010,2,2,0,0,2,2,0
561793,1031803,1,52,0,0,1,52,0
1745486,4399978,17,14,0,0,17,14,0
2459068,4184863,34,1,0,0,34,1,0
3035709,667398,764,4,0,0,764,4,0
1297277,110128,7,1,0,0,7,1,0
3311118,3222714,1,20,0,0,1,20,0
1101342,3374339,1,1,0,0,1,1,0
2379762,612518,1,1,0,0,1,1,0
2988963,1913822,3,1,0,0,3,1,0
3866388,597180,1,1,0,0,1,1,0
415620,2323339,1,1,0,0,1,1,0
4327878,1844796,1,4,0,0,1,4,0
4483431,1311672,1,1,0,0,1,1,0
885775,3607515,1,1,0,0,1,1,0
3241921,1633183,1,22,0,0,1,22,0
1348010,2094333,3,1,0,0,3,1,0
3535785,432408,1,1,0,0,1,1,0
787702,4419923,1,1,0,0,1,1,0
1896290,3691114,1,2,0,0,1,2,0
3000799,608787,4,1,0,0,4,1,0
2284054,949169,3,1,0,0,3,1,0
1471183,2526934,2,1,0,0,2,1,0
2757737,305416,1,1,0,0,1,1,0
1090752,3347837,2,1,0,0,2,1,0
853259,2369355,33,3,0,0,33,3,0
299530,4714482,1,2,0,0,1,2,0
3383842,276395,2,1,0,0,2,1,0
3385828,4264501,1,1,0,0,1,1,0
2068689,4562434,1,1,0,0,1,1,0
3349201,4571059,2,6,0,0,2,6,0
3904260,1509623,1,6,0,0,1,6,0
995838,1592202,1,1,0,0,1,1,0
2947851,4064203,10,1,0,0,10,1,0
3748694,4274730,1,1,0,0,1,1,0
4853824,2921841,5,1,0,0,5,1,0
2119230,1186182,18,1,0,0,18,1,0
329245,861334,3,1,0,0,3,1,0
2590709,1137043,1,1,0,0,1,1,0
3288396,423304,1,1,0,0,1,1,0
2362931,3047058,2,1,0,0,2,1,0
2679136,4281942,1,1,0,0,1,1,0
4556383,2327446,1,1,0,0,1,1,0
428778,2656273,2,4,0,0,2,4,0
4177835,4167560,1,1,0,0,1,1,0
433272,3898033,1,61,0,0,1,61,0
3393569,336995,2,1,0,0,2,1,0
2546743,448755,1,1,0,0,1,1,0
2136535,664136,86,1,0,0,86,1,0
4566366,765264,1,1,0,0,1,1,0
312201,4241309,2,1,0,0,2,1,0
2893995,2588311,1,1,0,0,1,1,0
3435192,1986636,2,1,0,0,2,1,0
3134732,3151967,1,4,0,0,1,4,0
4286505,1239176,2,1,0,0,2,1,0
3721283,3907358,2,2,0,0,2,2,0
2955984,2121734,4,1,0,0,4,1,0
1405544,2543397,3,16,0,0,3,16,0
954150,4515236,1,1,0,0,1,1,0
800976,1449722,1,1,0,0,1,1,0
4127417,1924676,1,2,0,0,1,2,0
3104021,512279,1,1,0,0,1,1,0
3340502,1400638,2,1,0,0,2,1,0
3183412,2923139,1,1,0,0,1,1,0
1519257,385750,1,1,0,0,1,1,0
3008848,3162277,1,1,0,0,1,1,0
1730841,4494336,1,1,0,0,1,1,0
192225,3943711,2,2,0,0,2,2,0
4213593,2189719,1,2,0,0,1,2,0
1836065,2223648,66,1,0,0,66,1,0
1930434,4323395,5,5,0,0,5,5,0
3053758,924516,1,2,0,0,1,2,0
767474,337573,1,3,0,0,1,3,0
3432142,308104,1,121,0,0,1,121,0
2549562,3974449,1,2,0,0,1,2,0
4379949,2023152,1,1,0,0,1,1,0
1729728,749299,1,2,0,0,1,2,0
183083,336210,2,1,0,0,2,1,0
517460,3670380,1,10,0,0,1,10,0
1998692,1332390,2,1,0,0,2,1,0
4256981,4581528,1,1,0,0,1,1,0
375136,1352752,1,1,0,0,1,1,0
4505504,2768745,1,4,0,0,1,4,0
3567279,3864215,1,1,0,0,1,1,0
408517,2219425,2,1,0,0,2,1,0
4659852,4410232,85,1,0,0,85,1,0
1703082,3130370,1,1,0,0,1,1,0
4804493,3004426,35,2,0,0,35,2,0
4423162,2040389,2,1,0,0,2,1,0
421512,4726974,18,1,0,0,18,1,0
4556999,167565,1,1,0,0,1,1,0
3654198,3383128,2,8,0,0,2,8,0
3249644,4503102,1,1,0,0,1,1,0
179323,1641498,1,1,0,0,1,1,0
4188009,2228257,1,2,0,0,1,2,0
2370518,997247,1,1,0,0,1,1,0
4555565,4221320,1,1,0,0,1,1,0
2461454,3671618,14,17,0,0,14,17,0
3432188,1527139,1,1,0,0,1,1,0
2949588,2228225,34,25,0,0,34,25,0
83148,2565566,2,1,0,0,2,1,0
3442710,29234,1,1,0,0,1,1,0
858566,2797770,1,2,0,0,1,2,0
3085772,4407165,1,5,0,0,1,5,0
1575293,3051289,1,3,0,0,1,3,0
563951,4418772,1,1,0,0,1,1,0
3164408,1951294,2,108,0,0,2,108,0
1411941,1603875,1,1,0,0,1,1,0
115260,3593574,1,4,0,0,1,4,0
4695670,4857410,2,1,0,0,2,1,0
4410843,4390009,4,5,0,0,4,5,0
4104308,2464306,5,1,0,0,5,1,0
1977997,4832260,1,1,0,0,1,1,0
3077339,2675779,1,6,0,0,1,6,0
160398,3128153,1,3,0,0,1,3,0
1346838,187370,1,4,0,0,1,4,0
1759300,4594910,1,1,0,0,1,1,0
2929912,2037308,1,1,0,0,1,1,0
4541250,613334,1,3,0,0,1,3,0
2381978,2512363,2,1,0,0,2,1,0
35685,4035891,1,1,0,0,1,1,0
2337931,1042186,1,1,0,0,1,1,0
2368724,2750849,14,2,0,0,14,2,0
2575505,4062899,3,1,0,0,3,1,0
583984,2384895,1,1,0,0,1,1,0
3068045,2076873,2,2,0,0,2,2,0
3922345,4226549,1,2,0,0,1,2,0
1106369,3982543,1,2,0,0,1,2,0
3080883,1293819,5,2,0,0,5,2,0
4000876,1952303,4,2,0,0,4,2,0
3043277,2187756,1,1,0,0,1,1,0
2366686,3342690,1,28,0,0,1,28,0
4538504,3589718,2,4,0,0,2,4,0
2916699,143667,3,1,0,0,3,1,0
805231,2695380,1,1,0,0,1,1,0
3351930,1381505,3,3,0,0,3,3,0
4817268,4302948,2,1,0,0,2,1,0
3608402,2065424,1,2,0,0,1,2,0
1583815,4178705,1,2,0,0,1,2,0
2394113,564898,1,26,0,0,1,26,0
4485449,781395,7,1,0,0,7,1,0
4817767,1570697,1,1,0,0,1,1,0
457533,2555129,2,1,0,0,2,1,0
4178580,538400,2,1,0,0,2,1,0
459814,2978709,1,14,0,0,1,14,0
2835941,1505447,1,1,0,0,1,1,0
1424547,3045986,1,1,0,0,1,1,0
4710163,3790948,1,5,0,0,1,5,0
4727644,2173193,1,1,0,0,1,1,0
1473822,1668969,1,1,0,0,1,1,0
3829898,407700,5,1,0,0,5,1,0
912135,1207981,1,3,0,0,1,3,0
968997,2034645,8,2,0,0,8,2,0
648069,2336305,1,1,0,0,1,1,0
1343604,2915122,4,1,0,0,4,1,0
2419454,670172,10,2,0,0,10,2,0
4721151,4285830,1,3,0,0,1,3,0
4772209,2167392,2,3,0,0,2,3,0
3484541,534740,14,1,0,0,14,1,0
2886941,4415305,29,1,0,0,29,1,0
3457794,4596915,2,1,0,0,2,1,0
332260,4244142,4,1,0,0,4,1,0
3124910,3953626,1,1,0,0,1,1,0
3054194,4552916,2,1,0,0,2,1,0
1813215,1469545,4,1,0,0,4,1,0
2315616,4165392,1,3,0,0,1,3,0
1011660,3310100,1,1,0,0,1,1,0
